title,price,brand,url,bargain_score,risk_level,estimated_market_value,red_flags,positive_indicators,reasoning,top_seller_questions
"Bostrøm 1982, Bostrøm 37 med defekt motor",180000,Bostrøm Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417627978,4.0,HIGH,,"['defekt', 'Mentions: defekt motor', 'Very short description - possibly hiding issues']",[],"⚠️ Below average value (score: 4.0/10) | 🚩 3 red flag(s): defekt, Mentions: defekt motor, Very short description - possibly hiding issues","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
UNIK I NORGE: Shipman 63 - Ytelse og komfort i særklasse!,6800000,Shipman Seilbåt/Motorseiler,https://www.finn.no/mobility/item/413297553,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Sunwind 27 fot,65000,Sunwind Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417613851,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi 77 med innenbordsmotor,19000,Maxi Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417591519,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt - Jeanneau Sun Odyssey 34 (1991),300000,Jeanneau Seilbåt/Motorseiler,https://www.finn.no/mobility/item/409631514,4.5,MEDIUM,,['Very short description - possibly hiding issues'],[],⚠️ Below average value (score: 4.5/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Mamba 311 med oppgraderinger. Klar for seilas!,190000,Mamba Seilbåt/Motorseiler,https://www.finn.no/mobility/item/413005957,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt Bella 31 fot,70000,Bella Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417587869,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Nauticat 33,340000,Nauticat Seilbåt/Motorseiler,https://www.finn.no/mobility/item/358040180,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Viksund Goldfish 31,25000,Viksund Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417572816,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Dehlya 22,19000,Dehler Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417558628,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
14 fots Katamaran seilbåt til salgs,1200,Andre Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417533043,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Den historiske seilbåten Aniara selges! 32 fots Krysser m. Bermuda Ketch,100000,Andre Seilbåt/Motorseiler,https://www.finn.no/mobility/item/404502433,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
CE Yacht CR400DS,1700000,CR Seilbåt/Motorseiler,https://www.finn.no/mobility/item/416066802,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 42 Cruiser selges.,1070000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417522752,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Sejlbåd: ""Mikkel 30""",135000,Mikkel Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417495735,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Killing på henger (med full nyere seilgarderobe),45000,Killing Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417491608,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['ny'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): ny,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt vedlikeholdt epoxy skrog. Klar for sommeren,1150000,Hanse Seilbåt/Motorseiler,https://www.finn.no/mobility/item/409974460,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['godt'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): godt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Omega 30A prosjekt selges (defekt innenbordsmotor).,60000,Omega Seilbåt/Motorseiler,https://www.finn.no/mobility/item/416983519,4.5,MEDIUM,,"['defekt', 'Very short description - possibly hiding issues']",[],"⚠️ Below average value (score: 4.5/10) | 🚩 2 red flag(s): defekt, Very short description - possibly hiding issues","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Formosa 36 seilbåt,395000,Formosa Seilbåt/Motorseiler,https://www.finn.no/mobility/item/359890143,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Ferieklar Maxi 77 med opplagskrybbe,45000,Maxi Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417452603,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Ovni 395,1900000,Alubat Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417440909,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi Fenix. Båtplass i Oslo ut sesongen. Ny mast og seil mm.,97000,Maxi Seilbåt/Motorseiler,https://www.finn.no/mobility/item/408641751,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['ny'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): ny,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Albin 78 Cirrus - en liten stor herlighet!,50000,Albin Seilbåt/Motorseiler,https://www.finn.no/mobility/item/310915509,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Colin archer 40 bobåt bruksbåt Jordomseiling,350000,Colin Archer Seilbåt/Motorseiler,https://www.finn.no/mobility/item/308151914,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
ALBIN DELTA med/uten båtplass på Kongen Marina,149000,Albin Seilbåt/Motorseiler,https://www.finn.no/mobility/item/412777524,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Twostar 36, vellutstyrt og seilklar.",200000,Twostar Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417407025,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria seilbåt cruiser 37,1100000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417132366,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Beneteau Oceanis 473, Bluewater Cruiser, Vurderes solgt.",1390000,Beneteau Seilbåt/Motorseiler,https://www.finn.no/mobility/item/412040903,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi 777 - Ink båtplass på fornebu,35000,Maxi Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417361907,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
IW31 seilbåt. (Redusert pris),41000,Swan Seilbåt/Motorseiler,https://www.finn.no/mobility/item/411014893,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Granada 24 seilbåt selges BILLIG!,2000,Granada Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417334148,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Havseiler C&C 30E med nyere motor til salgs,120000,C&C Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417331547,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['ny'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): ny,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Bavaria Vision 40, langturrigget, rullestorseil, 3 lugarer, baugpropell, lithium",1250000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/415971638,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Unik mulighet - 2024 Lagoon 42 - kan selges eks. mva,8937500,Lagoon Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417053296,5.5,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.5/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Sjelden mulighet - Brenta 34 - Norges råeste hyttebåt?,2500000,Brenta Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417219155,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Kommer for salg - Bavaria Cruiser 36 - Registrert i Skipsregisteret,940000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417153993,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"OHLSON 29 Rask, romslig, velutstyrt  MULIGHET FOR BØYEPLASS OG BILOPPSTILLING…",130000,Winga Seilbåt/Motorseiler,https://www.finn.no/mobility/item/261739425,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
2020 mod. Dufour 412 - Visning hos oss på Vollen Marina,2995000,Dufour Seilbåt/Motorseiler,https://www.finn.no/mobility/item/410445114,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Meget velholdt Beneteau Oceanis 38 selges - Visning hos oss på Vollen Marina,1995000,Benneteau Seilbåt/Motorseiler,https://www.finn.no/mobility/item/414262568,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['velholdt'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): velholdt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 38 ac Crusier,720000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/416620130,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt oppgradert Bavaria 33 Cruiser,600000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417243855,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['godt'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): godt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt utstyrt Maxi 68,28000,Maxi Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417217441,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['godt'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): godt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
I utmerket tilstand,1695000,Hallberg Rassy Seilbåt/Motorseiler,https://www.finn.no/mobility/item/269908747,5.3,MEDIUM,,['Very short description - possibly hiding issues'],['utmerket'],✅ Good value potential (score: 5.3/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 1 positive indicator(s): utmerket,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Marieholm 20 med ferskvannskjølt innenbordsmotor,32000,Marieholm Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417195979,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
21 fots seilbåt med senkekjøl og tilhenger,59000,Andre Seilbåt/Motorseiler,https://www.finn.no/mobility/item/408128847,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Velholdt og rikelig utstyr Jeanneau Sun Odyssey 439 – Med helt nye seil,2150000,Jeanneau Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417095200,5.6,MEDIUM,,['Very short description - possibly hiding issues'],"['ny', 'velholdt']","✅ Good value potential (score: 5.6/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues | ✅ 2 positive indicator(s): ny, velholdt","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 34 AC,450000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417147318,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt Omega 30,140000,Omega Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417149473,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt til salgs,35000,Polo Seilbåt/Motorseiler,https://www.finn.no/mobility/item/411985096,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria Cruiser 32,598000,Bavaria Seilbåt/Motorseiler,https://www.finn.no/mobility/item/417138421,5.0,MEDIUM,,['Very short description - possibly hiding issues'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Very short description - possibly hiding issues,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
